"player","team","att","comp","catchable","on_tgt","yds","air_yards","intended_air_yards","tds","ints","sacks","pressures","pa_att","pa_comp","pa_catchable","pa_on_tgt","pa_yds","pa_air_yards","pa_intended_air_yards","pa_tds","pa_ints","pa_sacks","pa_pressures"
"Justin Jefferson",NA,2,2,2,2,34,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Boyd",NA,1,1,1,1,23,22,22,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Trask",NA,9,3,7,4,23,4,95,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Allen",NA,3,3,3,2,22,11,11,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Riley Dixon",NA,2,2,2,1,18,11,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Driskel","Texans",8,5,7,7,18,-15,-4,0,0,2,2,12,9,9,9,90,43,43,1,0,0,3
"C.J. Beathard","Jaguars",8,5,6,5,18,15,56,0,1,1,5,3,2,3,2,17,2,9,0,0,0,1
"Braden Mann",NA,2,1,1,1,17,6,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim Boyle","Bears",4,1,2,1,17,-2,52,0,1,0,0,4,1,1,1,16,2,50,0,1,0,2
"Ryan Wright",NA,2,1,2,1,13,13,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brian Hoyer","Patriots",4,3,3,3,11,-6,6,0,0,1,2,2,2,2,NA,26,15,15,0,0,0,1
"Josh Johnson",NA,2,1,1,1,10,6,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blaine Gabbert","Buccaneers",6,4,6,4,9,-12,13,1,0,0,1,2,2,2,1,20,1,1,0,0,0,0
"Case Keenum","Bills",5,2,4,3,8,2,20,0,0,0,2,2,0,0,NA,0,0,36,0,0,0,0
"Jack Fox",NA,1,1,1,1,6,6,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Henry",NA,2,2,2,2,4,-1,-1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andy Lee",NA,1,1,1,1,4,-1,-1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Najee Harris",NA,1,1,1,1,4,-4,-4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Braxton Berrios",NA,1,1,1,1,2,2,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase Claypool",NA,1,1,1,1,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad Henne",NA,2,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tommy Townsend",NA,1,0,1,1,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Kirk",NA,1,0,0,NA,0,0,-4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper Kupp",NA,1,0,0,NA,0,0,24,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rex Burkhead",NA,1,0,0,NA,0,0,9,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeeJay Dallas",NA,1,0,0,NA,0,0,8,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrett Wilson",NA,1,0,0,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Proche",NA,1,0,0,NA,0,0,29,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
