GameId,Season,Week,HomeTeamId,HomeTeam,AwayTeamId,AwayTeam,StadiumName,CoveredStadium,HomeScore,AwayScore,SpreadLine,TotalLine,SpreadResult,TotalResult,Weather,PrecipIntensity,PrecipProbability,PrecipType,Temperature,WindSpeed
3027,2020,16,25,Steelers,14,Colts,Heinz Field,0,28,24,-1,43,4,52,Partly Cloudy,0.0022,0.090000004,rain,36.50999832,7
3028,2020,16,32,Football Team,5,Panthers,FedEx Field,0,13,20,-1,41,-7,33,Partly Cloudy,0.0005,0.02,rain,38.81000137,6
3029,2020,16,27,Seahawks,29,Rams,Lumen Field,0,20,9,1.5,48,11,29,Overcast,0.0026,0.140000001,rain,47.70999908,4
3030,2020,16,9,Cowboys,24,Eagles,AT&T Stadium,1,37,17,-3,50,20,54,Clear,0,0,NA,74.88999939,7
3031,2020,16,12,Packers,31,Titans,Lambeau Field,0,40,14,3,52.5,26,54,Snow,0.029300001,0.280000001,snow,27.43000031,13
3032,2020,16,19,Patriots,4,Bills,Gillette Stadium,0,9,38,-7,47,-29,47,Clear,0.0015,0.039999999,rain,40.25,5
3033,2020,17,4,Bills,17,Dolphins,Highmark Stadium,0,56,26,-3.5,42.5,30,82,Overcast,0.0011,0.230000004,rain,36.5,3
3034,2020,17,5,Panthers,20,Saints,Bank of America Stadium,0,7,33,-6,47,-26,40,Mostly Cloudy,0.0004,0.02,rain,53.50999832,4
3035,2020,17,6,Bears,12,Packers,Soldier Field,0,16,35,-4.5,48.5,-19,51,Overcast,0.0005,0.039999999,snow,32.13000107,6
3036,2020,17,7,Bengals,3,Ravens,Paul Brown Stadium,0,3,38,-13.5,46,-35,41,Overcast,0.0008,0.07,rain,39.47000122,9
3037,2020,17,8,Browns,25,Steelers,FirstEnergy Stadium,0,24,22,10.5,45,2,46,Overcast,0.0005,0.050000001,rain,38.81999969,10
3038,2020,17,11,Lions,18,Vikings,Ford Field,1,35,37,-3,54,-2,72,Foggy,0.0009,0.150000006,snow,34.91999817,3
3039,2020,17,13,Texans,31,Titans,NRG Stadium,1,38,41,-7,55.5,-3,79,Clear,0,0,NA,67.51999664,10
3040,2020,17,19,Patriots,22,Jets,Gillette Stadium,0,28,14,3,41,14,42,Overcast,0.0008,0.109999999,rain,35.50999832,6
3041,2020,17,21,Giants,9,Cowboys,MetLife Stadium,0,23,19,-1.5,44.5,4,42,Overcast,0.0027,0.140000001,rain,36.24000168,8
3042,2020,17,30,Buccaneers,2,Falcons,Raymond James Stadium,0,44,27,7.5,51,17,71,Overcast,0.016000001,0.039999999,rain,65.33000183,5
3043,2020,17,14,Colts,15,Jaguars,Lucas Oil Stadium,1,28,14,15.5,48,14,42,Overcast,0.0006,0.07,snow,34.00999832,7
3044,2020,17,16,Chiefs,26,Chargers,Arrowhead Stadium,0,21,38,-7,43,-17,59,Partly Cloudy,0.0007,0.059999999,rain,33.83000183,6
3045,2020,17,24,Eagles,32,Football Team,Lincoln Financial Field,0,14,20,-6.5,43.5,-6,34,Possible Light Rain,0.0142,0.529999971,rain,37.54000092,6
3046,2020,17,10,Broncos,23,Raiders,Empower Field at Mile High,0,31,32,-2.5,50.5,-1,63,Foggy,0.0004,0.01,rain,52.75,8
3047,2020,17,29,Rams,1,Cardinals,SoFi Stadium,0,18,7,1,42,11,25,Partly Cloudy,0.0002,0.01,rain,60.86999893,3
3048,2020,17,28,49ers,27,Seahawks,Levi's Stadium,0,23,26,-7,45,-3,49,Mostly Cloudy,0.0003,0.01,rain,56.38999939,3
