"Rank","Season","Player","Team","Games","Att","Yds","YAContact","TDs","Brkn Tkls","Missed Tkls","1st Downs","Fum","Fum Lost","Hit at Line","Stuffs","Used Designed Gap"
"[object Object]","2019","Saquon Barkley","Giants","13","217","1003","670","6","25","15","45","0","0","89","46","134"
"[object Object]","2018","Nick Chubb","Browns","16","192","996","789","8","29","12","47","0","0","89","45","104"
"[object Object]","2016","Devonta Freeman","Falcons","16","227","1079","549","11","55","0","57","1","1","89","49","158"
"[object Object]","2017","Latavius Murray","Vikings","16","216","842","491","8","29","0","42","1","0","89","42","144"
"[object Object]","2022","Alvin Kamara","Saints","15","223","897","538","2","20","9","40","2","2","88","39","154"
"[object Object]","2021","Elijah Mitchell","49ers","11","207","963","600","5","20","8","47","0","0","88","37","151"
"[object Object]","2017","Mark Ingram","Saints","16","230","1124","673","12","39","0","50","2","2","88","33","168"
"[object Object]","2017","LeGarrette Blount","Eagles","15","173","766","648","2","45","0","33","1","1","88","37","124"
"[object Object]","2022","Kenneth Walker III","Seahawks","15","228","1050","568","9","28","22","51","0","0","87","54","130"
"[object Object]","2022","Brian Robinson Jr.","Commanders","12","205","797","495","2","18","7","49","2","0","87","29","125"
"[object Object]","2015","Eddie Lacy","Packers","15","187","758","492","3","29","0","35","3","2","87","44","0"
"[object Object]","2015","Alfred Morris","Redskins","16","202","751","454","1","21","0","28","0","0","87","37","0"
"[object Object]","2019","Josh Jacobs","Raiders","13","242","1150","713","7","42","16","53","1","1","86","37","162"
"[object Object]","2019","Adrian Peterson","Redskins","15","211","898","523","5","15","21","40","2","1","85","38","107"
"[object Object]","2022","Travis Etienne","Jaguars","17","220","1125","609","5","30","18","52","3","3","85","48","148"
"[object Object]","2022","Tyler Allgeier","Falcons","16","210","1035","707","3","28","15","53","0","0","85","29","146"
"[object Object]","2019","Aaron Jones","Packers","16","236","1084","620","16","31","13","55","1","1","85","40","140"
"[object Object]","2015","Darren McFadden","Cowboys","16","239","1089","576","3","24","0","41","3","3","85","41","0"
"[object Object]","2020","Jonathan Taylor","Colts","15","232","1169","611","11","12","20","69","1","1","84","39","157"
"[object Object]","2020","Kenyan Drake","Cardinals","15","239","955","463","10","6","16","59","3","1","84","47","171"
"[object Object]","2022","Tony Pollard","Cowboys","16","193","1007","722","9","25","14","46","0","0","84","37","139"
"[object Object]","2022","Joe Mixon","Bengals","14","210","814","480","7","7","14","47","0","0","84","36","128"
"[object Object]","2018","Lamar Miller","Texans","14","210","973","572","5","13","13","36","0","0","83","40","129"
"[object Object]","2015","Lamar Miller","Dolphins","16","194","872","545","8","23","0","27","1","1","83","44","0"
"[object Object]","2020","Nick Chubb","Browns","12","190","1067","702","12","22","26","56","1","1","82","34","151"
"[object Object]","2016","Latavius Murray","Raiders","14","195","788","436","12","27","0","42","2","1","82","32","136"
"[object Object]","2022","Austin Ekeler","Chargers","17","204","915","532","13","12","18","46","3","2","80","39","127"
"[object Object]","2015","DeAngelo Williams","Steelers","16","199","895","468","11","21","0","37","3","1","80","39","15"
"[object Object]","2021","Josh Jacobs","Raiders","15","217","872","535","9","24","18","45","2","2","79","34","127"
"[object Object]","2018","Christian McCaffrey","Panthers","16","219","1098","591","7","24","16","53","2","1","79","33","146"
"[object Object]","2016","Isaiah Crowell","Browns","16","198","952","549","7","22","0","39","2","2","79","45","148"
"[object Object]","2022","D'Onta Foreman","Panthers","16","203","914","561","5","12","7","45","1","0","78","32","110"
"[object Object]","2015","Jeremy Hill","Bengals","16","223","794","444","11","25","0","30","3","3","78","39","0"
"[object Object]","2017","Devonta Freeman","Falcons","14","196","865","463","7","49","0","52","4","1","77","37","141"
"[object Object]","2015","Ronnie Hillman","Broncos","16","207","863","513","7","38","0","35","2","1","77","44","1"
"[object Object]","2020","Kareem Hunt","Browns","16","198","841","504","6","22","14","44","1","0","76","38","149"
"[object Object]","2022","Jeff Wilson Jr.","2 teams","16","176","860","464","5","10","12","44","3","1","76","27","120"
"[object Object]","2018","Kareem Hunt","Chiefs","11","181","824","569","7","24","18","46","0","0","75","34","126"
"[object Object]","2018","Sony Michel","Patriots","13","209","931","476","6","18","5","53","1","1","75","34","163"
"[object Object]","2016","Spencer Ware","Chiefs","14","214","921","479","3","40","0","46","3","3","75","33","167"
"[object Object]","2019","Phillip Lindsay","Broncos","16","224","1011","535","7","23","16","38","0","0","74","36","126"
"[object Object]","2018","Melvin Gordon","Chargers","12","175","885","544","10","26","16","46","0","0","74","32","122"
"[object Object]","2022","Aaron Jones","Packers","17","213","1121","679","2","33","14","54","3","1","74","34","150"
"[object Object]","2021","Sony Michel","Rams","17","208","845","457","4","21","14","49","1","1","74","39","118"
