"season","passer","passer_id","total","yards_per_play","total_td","total_yards","epa_per_play","success_rate","avg_airyards","participated"
2012,"A.Dalton","00-0027973",525,6.98857142857143,31,3669,0.111074522410312,0.481904761904762,8.6247619047619,0
2012,"A.Luck","00-0029668",619,7.06623586429725,26,4374,0.131718964965378,0.465266558966074,10.3053311793215,1
2012,"A.Rodgers","00-0023459",549,7.82331511839709,39,4295,0.349295743317741,0.555555555555556,8.13661202185792,1
2012,"B.Weeden","00-0029677",516,6.56007751937984,16,3385,0.0190021370079025,0.430232558139535,7.4515503875969,0
2012,"C.Palmer","00-0021429",561,7.16221033868093,24,4018,0.11554078194654,0.468805704099822,8.39928698752228,0
2012,"D.Brees","00-0020531",667,7.7616191904048,46,5177,0.216069609605057,0.523238380809595,8.19790104947526,1
2012,"E.Manning","00-0022803",536,7.36567164179105,28,3948,0.163615949404365,0.5,9.57383177570093,1
2012,"J.Flacco","00-0026158",531,7.18832391713748,24,3817,0.135310340360097,0.448210922787194,10.0583804143126,0
2012,"J.Freeman","00-0026993",556,7.31115107913669,30,4065,0.124502025208145,0.433453237410072,10.0341726618705,0
2012,"M.Ryan","00-0026143",615,7.67317073170732,33,4719,0.293377319655226,0.544715447154472,8.14983713355049,1
2012,"M.Schaub","00-0022787",544,7.36764705882353,22,4008,0.23593212184226,0.501838235294118,7.99816176470588,1
2012,"M.Stafford","00-0026498",723,6.86998616874136,25,4967,0.0920856734383658,0.485477178423237,8.7372060857538,0
2012,"P.Manning","00-0010346",580,8.03275862068966,39,4659,0.325877431523944,0.548275862068966,8.34655172413793,1
2012,"P.Rivers","00-0022942",525,6.86857142857143,28,3606,0.167786180566264,0.483809523809524,7.55428571428571,0
2012,"R.Fitzpatrick","00-0023682",503,6.75944333996024,26,3400,0.100269989661659,0.447316103379722,7.76540755467197,0
2012,"S.Bradford","00-0027854",544,6.80514705882353,24,3702,0.0944031680787082,0.476102941176471,8.28492647058824,0
2012,"T.Brady","00-0019596",634,7.61356466876972,35,4827,0.346285652957447,0.553627760252366,8.68769716088328,1
2012,"T.Romo","00-0021678",645,7.6015503875969,31,4903,0.214106955674568,0.533333333333333,8.86046511627907,0
2013,"A.Dalton","00-0027973",585,7.33846153846154,35,4293,0.172883905907635,0.482051282051282,8.54871794871795,0
2013,"A.Luck","00-0029668",570,6.70526315789474,24,3822,0.138007443642522,0.470175438596491,8.17894736842105,1
2013,"A.Smith","00-0023436",504,6.5734126984127,23,3313,0.158318064343435,0.468253968253968,6.67063492063492,1
2013,"B.Roethlisberger","00-0022924",578,7.3719723183391,29,4261,0.23117066697113,0.503460207612457,8.52595155709342,0
2013,"C.Henne","00-0026197",502,6.45617529880478,14,3241,0.0208368654104056,0.458167330677291,6.50597609561753,0
2013,"C.Palmer","00-0021429",571,7.48511383537653,25,4274,0.118206254255332,0.483362521891419,9.22241681260946,0
2013,"D.Brees","00-0020531",649,7.9537750385208,40,5162,0.317128770772843,0.530046224961479,7.99691358024691,1
2013,"E.Manning","00-0022803",551,6.92921960072595,22,3818,-0.00474862315321451,0.455535390199637,9.51179673321234,0
2013,"J.Flacco","00-0026158",613,6.38172920065253,22,3912,0.0557867845557753,0.414355628058728,9.40196078431373,0
2013,"M.Ryan","00-0026143",650,6.94615384615385,30,4515,0.14609528676149,0.489230769230769,6.82923076923077,0
2013,"M.Stafford","00-0026498",631,7.36925515055468,32,4650,0.133105443256249,0.473851030110935,8.30427892234548,0
2013,"P.Manning","00-0010346",658,8.32370820668693,57,5477,0.440709881998819,0.56838905775076,7.85562310030395,1
2013,"P.Rivers","00-0022942",543,8.24677716390424,34,4478,0.371599002652438,0.556169429097606,7.76795580110497,1
2013,"R.Tannehill","00-0029701",584,6.70034246575342,26,3913,0.156118357671723,0.479452054794521,9.55917667238422,0
2013,"T.Brady","00-0019596",624,6.9599358974359,26,4343,0.218729948788285,0.495192307692308,8.47435897435897,1
2013,"T.Romo","00-0021678",534,7.1685393258427,31,3828,0.180306453247645,0.49812734082397,7.95505617977528,0
2014,"A.Luck","00-0029668",616,7.7288961038961,43,4761,0.206108263523319,0.487012987012987,8.88961038961039,1
2014,"A.Rodgers","00-0023459",520,8.425,38,4381,0.409096201886659,0.551923076923077,8.08461538461538,1
2014,"B.Roethlisberger","00-0022924",599,8.26711185308848,32,4952,0.310398366130775,0.540901502504174,8.67779632721202,1
2014,"D.Brees","00-0020531",653,7.58346094946401,36,4952,0.20304207743896,0.525267993874426,7.7166921898928,1
2014,"D.Carr","00-0031280",593,5.51433389544688,22,3270,-0.0479653470013699,0.413153456998314,7.86509274873524,0
2014,"E.Manning","00-0022803",600,7.35,32,4410,0.156866245161519,0.471666666666667,8.255,0
2014,"J.Cutler","00-0024226",561,6.79500891265597,29,3812,0.0518398780849942,0.479500891265597,7.31907308377897,0
2014,"J.Flacco","00-0026158",548,7.27372262773723,27,3986,0.172076105835754,0.492700729927007,8.43613138686131,0
2014,"M.Ryan","00-0026143",623,7.53451043338684,32,4694,0.183334849190483,0.513643659711075,7.80225080385852,1
2014,"M.Stafford","00-0026498",599,7.10684474123539,22,4257,0.168531565045615,0.479131886477462,8.07705192629816,1
2014,"P.Manning","00-0010346",595,7.94453781512605,40,4727,0.248195772818741,0.519327731092437,8.52268907563025,1
2014,"P.Rivers","00-0022942",569,7.53251318101933,33,4286,0.224600471235166,0.513181019332162,8.52899824253076,0
2014,"R.Tannehill","00-0029701",589,6.86757215619694,27,4045,0.160403413783923,0.519524617996604,7.63667232597623,0
2014,"T.Brady","00-0019596",582,7.06013745704467,35,4109,0.242877051797819,0.496563573883162,8.06013745704467,1
2015,"A.Rodgers","00-0023459",571,6.68651488616462,31,3818,0.143715158946522,0.446584938704028,8.10683012259194,1
2015,"B.Bortles","00-0031407",603,7.34328358208955,39,4428,0.152518870546853,0.470978441127695,9.22056384742952,0
2015,"C.Palmer","00-0021429",531,8.79661016949153,35,4671,0.367420664769152,0.534839924670433,10.8568738229755,1
2015,"D.Brees","00-0020531",625,7.792,34,4870,0.234069069294181,0.4896,7.8528,0
2015,"D.Carr","00-0031280",572,6.97027972027972,35,3987,0.0852694188605137,0.452797202797203,7.98951048951049,1
2015,"E.Manning","00-0022803",617,7.18314424635332,37,4432,0.170078031126376,0.471636952998379,7.56564019448947,1
2015,"J.Winston","00-0031503",533,7.58348968105066,25,4042,0.152571725622045,0.484052532833021,10.0187617260788,1
2015,"K.Cousins","00-0029604",543,7.67219152854512,30,4166,0.262932745245914,0.50828729281768,8.01473296500921,0
2015,"M.Ryan","00-0026143",614,7.4771986970684,22,4591,0.209546400587215,0.52442996742671,7.7214983713355,0
2015,"M.Stafford","00-0026498",592,7.19932432432432,33,4262,0.135471812296134,0.516891891891892,6.4527027027027,0
2015,"P.Rivers","00-0022942",660,7.26060606060606,34,4792,0.1799410381353,0.503030303030303,7.21396054628225,0
2015,"R.Fitzpatrick","00-0023682",562,6.94839857651246,31,3905,0.160593262350166,0.45373665480427,9.20462633451957,0
2015,"R.Tannehill","00-0029701",584,7.20547945205479,26,4208,0.116334017597142,0.448630136986301,8.81164383561644,0
2015,"S.Bradford","00-0027854",531,7.015065913371,20,3725,0.0678293370672684,0.467043314500942,6.98116760828625,0
2015,"T.Brady","00-0019596",622,7.66881028938907,38,4770,0.287210495429804,0.491961414790997,7.90192926045016,1
2016,"A.Dalton","00-0027973",561,7.49732620320856,18,4206,0.194852011763281,0.515151515151515,7.8716577540107,1
2016,"A.Luck","00-0029668",542,7.82287822878229,32,4240,0.247410311263103,0.520295202952029,8.25092250922509,0
2016,"A.Rodgers","00-0023459",608,7.28289473684211,40,4428,0.30619861962777,0.503289473684211,8.69407894736842,1
2016,"B.Bortles","00-0031407",625,6.248,26,3905,0.0215808565641731,0.4368,8.224,0
2016,"B.Osweiler","00-0029682",507,5.83826429980276,15,2960,-0.00515317162160992,0.469428007889546,8.64102564102564,0
2016,"B.Roethlisberger","00-0022924",506,7.54743083003953,29,3819,0.236288679681135,0.49802371541502,8.71936758893281,1
2016,"C.Newton","00-0027939",507,6.92110453648915,22,3509,0.0793829469404808,0.445759368836292,10.3609467455621,0
2016,"C.Palmer","00-0021429",595,7.11428571428571,27,4233,0.158811470329276,0.500840336134454,9.47058823529412,0
2016,"C.Wentz","00-0032950",605,6.25123966942149,16,3782,0.100086932273765,0.459504132231405,7.46776859504132,0
2016,"D.Brees","00-0020531",666,7.81981981981982,39,5208,0.238829493683742,0.536036036036036,7.22289156626506,1
2016,"D.Carr","00-0031280",558,7.05555555555556,28,3937,0.183435536690897,0.462365591397849,7.7831541218638,1
2016,"E.Manning","00-0022803",598,6.73411371237458,27,4027,0.048501080839967,0.456521739130435,7.8628762541806,0
2016,"J.Flacco","00-0026158",665,6.49172932330827,20,4317,0.0438170670849918,0.451127819548872,7.46917293233083,0
2016,"J.Winston","00-0031503",567,7.21340388007055,29,4090,0.221227746587273,0.507936507936508,10.1869488536155,0
2016,"K.Cousins","00-0029604",603,8.15422885572139,28,4917,0.261530147284486,0.54228855721393,8.7379767827529,1
2016,"M.Ryan","00-0026143",534,9.25842696629213,40,4944,0.439515627765023,0.571161048689139,8.6498127340824,1
