"game_id","week","team","starting_line"
"2022_02_MIA_BAL",2,"MIA","Connor Williams, Greg Little, Liam Eichenberg, Robert Hunt, Terron Armstead"
"2022_02_MIN_PHI",2,"MIN","Brian O'Neill, Christian Darrisaw, Ed Ingram, Ezra Cleveland, Garrett Bradbury"
"2022_02_MIN_PHI",2,"PHI","Isaac Seumalo, Jason Kelce, Jordan Mailata, Landon Dickerson, Lane Johnson"
"2022_02_NE_PIT",2,"NE","Cole Strange, David Andrews, Isaiah Wynn, Michael Onwenu, Trent Brown"
"2022_02_NE_PIT",2,"PIT","Chukwuma Okorafor, Dan Moore, James Daniels, Kevin Dotson, Mason Cole"
"2022_02_NYJ_CLE",2,"CLE","Ethan Pocic, James Hudson, Jedrick Wills Jr., Joel Bitonio, Wyatt Teller"
"2022_02_NYJ_CLE",2,"NYJ","Alijah Vera-Tucker, Connor McGovern, George Fant, Laken Tomlinson, Max Mitchell"
"2022_02_SEA_SF",2,"SEA","Abraham Lucas, Austin Blythe, Charles Cross, Gabe Jackson, Phil Haynes"
"2022_02_SEA_SF",2,"SF","Aaron Banks, Jake Brendel, Mike McGlinchey, Spencer Burford, Trent Williams"
"2022_02_TB_NO",2,"NO","Andrus Peat, Cesar Ruiz, Erik McCoy, James Hurst, Ryan Ramczyk"
"2022_02_TB_NO",2,"TB","Brandon Walton, Luke Goedeke, Robert Hainsey, Shaq Mason, Tristan Wirfs"
"2022_02_TEN_BUF",2,"BUF","Dion Dawkins, Greg Van Roten, Rodger Saffold, Ryan Bates, Spencer Brown"
"2022_02_TEN_BUF",2,"TEN","Aaron Brewer, Ben Jones, Dennis Daley, Nate Davis, Nicholas Petit-Frere"
"2022_02_WAS_DET",2,"DET","Dan Skipper, Evan Brown, Logan Stenberg, Penei Sewell, Taylor Decker"
"2022_02_WAS_DET",2,"WAS","Andrew Norwell, Charles Leno Jr., Chase Roullier, Samuel Cosmi, Trai Turner"
"2022_03_ATL_SEA",3,"ATL","Chris Lindstrom, Colby Gossett, Drew Dalman, Jake Matthews, Kaleb McGary"
"2022_03_ATL_SEA",3,"SEA","Abraham Lucas, Austin Blythe, Charles Cross, Damien Lewis, Gabe Jackson"
"2022_03_BAL_NE",3,"BAL","Ben Powers, Daniel Faalele, Kevin Zeitler, Morgan Moses, Tyler Linderbaum"
"2022_03_BAL_NE",3,"NE","Cole Strange, David Andrews, Isaiah Wynn, Michael Onwenu, Trent Brown"
"2022_03_BUF_MIA",3,"BUF","David Quessenberry, Dion Dawkins, Greg Van Roten, Rodger Saffold, Ryan Bates"
"2022_03_BUF_MIA",3,"MIA","Connor Williams, Greg Little, Liam Eichenberg, Robert Hunt, Terron Armstead"
"2022_03_CIN_NYJ",3,"CIN","Alex Cappa, Cordell Volson, Jonah Williams, La'el Collins, Ted Karras"
"2022_03_CIN_NYJ",3,"NYJ","Alijah Vera-Tucker, Connor McGovern, George Fant, Laken Tomlinson, Max Mitchell"
