"season","team","total_points","total_yards"
2019,"PIT",289,4428
2019,"SEA",405,5991
2019,"SF",479,6097
2019,"TB",458,6366
2019,"TEN",402,5805
2019,"WAS",266,4395
2020,"ARI",410,6153
2020,"ATL",396,5895
2020,"BAL",468,5810
2020,"BUF",501,6343
2020,"CAR",350,5592
2020,"CHI",372,5302
2020,"CIN",311,5116
2020,"CLE",408,5913
2020,"DAL",395,5949
2020,"DEN",323,5369
2020,"DET",377,5603
2020,"GB",509,6224
2020,"HOU",384,6004
2020,"IND",451,6049
2020,"JAX",306,5218
2020,"KC",473,6653
2020,"LA",372,6032
2020,"LAC",384,6113
2020,"LV",434,6133
2020,"MIA",404,5424
2020,"MIN",430,6292
2020,"NE",326,5236
2020,"NO",482,6023
2020,"NYG",280,4794
2020,"NYJ",243,4479
2020,"PHI",334,5354
2020,"PIT",416,5354
2020,"SEA",459,5912
2020,"SF",376,5922
2020,"TB",492,6145
2020,"TEN",491,6343
2020,"WAS",335,5076
2021,"ARI",449,6352
2021,"ATL",313,5164
2021,"BAL",387,6440
2021,"BUF",483,6493
2021,"CAR",304,5081
2021,"CHI",311,5225
2021,"CIN",460,6145
2021,"CLE",349,5791
2021,"DAL",530,6919
2021,"DEN",335,5618
2021,"DET",325,5484
2021,"GB",450,6215
2021,"HOU",280,4727
2021,"IND",451,5901
2021,"JAX",253,5191
2021,"KC",480,6746
2021,"LA",460,6325
2021,"LAC",474,6634
2021,"LV",374,6184
2021,"MIA",341,5219
2021,"MIN",425,6168
2021,"NE",462,6008
2021,"NO",364,5177
2021,"NYG",258,4884
2021,"NYJ",310,5208
2021,"PHI",444,6119
2021,"PIT",343,5361
2021,"SEA",395,5506
2021,"SF",427,6387
2021,"TB",511,6901
2021,"TEN",419,5822
2021,"WAS",335,5502
2022,"ARI",340,5499
2022,"ATL",365,5417
2022,"BAL",350,5760
2022,"BUF",455,6361
2022,"CAR",347,5206
2022,"CHI",326,5233
2022,"CIN",418,5768
2022,"CLE",361,5934
2022,"DAL",467,6034
2022,"DEN",287,5527
2022,"DET",453,6460
2022,"GB",370,5745
2022,"HOU",289,4820
2022,"IND",289,5298
2022,"JAX",404,6075
2022,"KC",496,7032
2022,"LA",307,4769
2022,"LAC",391,6108
2022,"LV",395,5993
2022,"MIA",397,6197
2022,"MIN",424,6145
2022,"NE",364,5348
2022,"NO",330,5674
2022,"NYG",365,5676
2022,"NYJ",296,5409
2022,"PHI",477,6614
2022,"PIT",308,5484
2022,"SEA",407,5976
2022,"SF",450,6216
2022,"TB",313,5894
2022,"TEN",298,5045
2022,"WAS",321,5615
