"team","season","team_conf","team_division","week","div_game","wins","loss","tie","div_w","div_l","div_t","div_rank","team_score","opponent_score","points_for","points_agg","week_diff","points_per_game","points_agg_game","rolling_earlydown_epa","rolling_epaper_play","rolling_success_play","rolling_db_epa","rolling_rush_success","playoffs"
"ARI",2012,"NFC","NFC West",1,1,0,0,0,0,0,0,4,20,16,20,16,4,20,16,-7.37400516759953,-0.139852148219274,37.7049180327869,0.0171427971952051,15.7894736842105,"0"
"ATL",2012,"NFC","NFC South",1,0,0,0,0,0,0,0,1,40,24,40,24,16,40,24,13.9144447660074,0.375781153597239,52.7272727272727,0.744138415325366,25,"1"
"BAL",2012,"AFC","AFC North",1,1,0,0,0,0,0,0,1,44,13,44,13,31,44,13,19.4796281579183,0.354587370092792,53.3333333333333,0.449475444658631,57.1428571428571,"1"
"BUF",2012,"AFC","AFC East",1,1,0,0,0,0,0,0,4,28,48,28,48,-20,28,48,-7.98938489879947,0.0969634923249638,43.3333333333333,-0.00199831087339782,37.037037037037,"0"
"CAR",2012,"NFC","NFC South",1,1,0,0,0,0,0,0,2,10,16,10,16,-6,10,16,2.75779026251985,-0.105098608771839,40,0.0750152724144037,25,"0"
"CHI",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,3,41,21,41,21,20,41,21,7.40529119677376,0.143058457574296,41.6666666666667,0.229971557001973,32.258064516129,"0"
"CIN",2012,"AFC","AFC North",1,1,0,0,0,0,0,0,2,13,44,13,44,-31,13,44,4.6618789487984,-0.138526557499087,41.4285714285714,-0.372008142418007,39.2857142857143,"1"
"CLE",2012,"AFC","AFC North",1,0,0,0,0,0,0,0,4,16,17,16,17,-1,16,17,-12.5815891855746,-0.386451391386365,26.2295081967213,-0.447083802414337,19.047619047619,"0"
"DAL",2012,"NFC","NFC East",1,1,0,0,0,0,0,0,3,24,17,24,17,7,24,17,15.2602846849477,0.218008337861607,55.1724137931034,0.385142963483783,48,"0"
"DEN",2012,"AFC","AFC West",1,0,0,0,0,0,0,0,1,31,19,31,19,12,31,19,9.8314515981474,0.246491768107274,58.4905660377358,0.513094511608437,47.8260869565217,"1"
"DET",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,4,27,23,27,23,4,27,23,-6.80848529766081,-0.0845620021403112,56.0606060606061,-0.150780456268823,50,"0"
"GB",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,1,22,30,22,30,-8,22,30,1.39549950649962,0.0393105357105204,47.7611940298507,0.100374889914308,0,"1"
"HOU",2012,"AFC","AFC South",1,0,0,0,0,0,0,0,1,30,10,30,10,20,30,10,4.64441109812469,0.128877713832336,45.4545454545455,0.412197039015869,35.4838709677419,"1"
"IND",2012,"AFC","AFC South",1,0,0,0,0,0,0,0,2,21,41,21,41,-20,21,41,-3.0435905038612,-0.0589217888202406,45.4545454545455,-0.0570504698303318,23.0769230769231,"1"
"JAX",2012,"AFC","AFC South",1,0,0,0,0,0,0,0,4,23,26,23,26,-3,23,26,0.0698013984365389,0.0797753905773383,48.0519480519481,0.300009196626203,40.625,"0"
"KC",2012,"AFC","AFC West",1,0,0,0,0,0,0,0,4,24,40,24,40,-16,24,40,2.84269397286698,0.100969532694311,47.0588235294118,0.0834837411129712,45.1612903225806,"0"
"MIA",2012,"AFC","AFC East",1,0,0,0,0,0,0,0,2,10,30,10,30,-20,10,30,-10.25158758834,-0.426238410604235,39.344262295082,-0.475209450220856,45.4545454545455,"0"
"MIN",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,2,26,23,26,23,3,26,23,8.7558234850294,0.0273789786683184,49.1525423728814,0.0197066998129518,46.4285714285714,"1"
"NE",2012,"AFC","AFC East",1,0,0,0,0,0,0,0,1,34,13,34,13,21,34,13,14.7613607608364,0.228795454233544,54.5454545454545,0.305269357857354,47.0588235294118,"1"
"NO",2012,"NFC","NFC South",1,0,0,0,0,0,0,0,3,32,40,32,40,-8,32,40,-1.14534515026025,-0.0498939377121251,41.4285714285714,-0.0352081861818804,45.4545454545455,"0"
"NYG",2012,"NFC","NFC East",1,1,0,0,0,0,0,0,2,17,24,17,24,-7,17,24,-6.78097452077782,0.0240312395331734,36.3636363636364,0.142129318911548,26.3157894736842,"0"
"NYJ",2012,"AFC","AFC East",1,1,0,0,0,0,0,0,3,48,28,48,28,20,48,28,-1.07240271021146,0.266599061387289,40.625,0.705829416203137,19.4444444444444,"0"
"OAK",2012,"AFC","AFC West",1,1,0,0,0,0,0,0,3,14,22,14,22,-8,14,22,NA,NA,NA,NA,NA,"0"
"PHI",2012,"NFC","NFC East",1,0,0,0,0,0,0,0,4,17,16,17,16,1,17,16,-19.3804794431198,-0.155703537458827,41.7582417582418,-0.144866701235305,53.8461538461538,"0"
"PIT",2012,"AFC","AFC North",1,0,0,0,0,0,0,0,3,19,31,19,31,-12,19,31,-17.3062527475704,-0.00678516306964089,40,0.0486790832713698,30.7692307692308,"0"
"SD",2012,"AFC","AFC West",1,1,0,0,0,0,0,0,2,22,14,22,14,8,22,14,NA,NA,NA,NA,NA,"0"
"SEA",2012,"NFC","NFC West",1,1,0,0,0,0,0,0,2,16,20,16,20,-4,16,20,-11.0915362084634,-0.127744712327809,36.8421052631579,-0.123283121928194,30.7692307692308,"1"
"SF",2012,"NFC","NFC West",1,0,0,0,0,0,0,0,1,30,22,30,22,8,30,22,15.968220093361,0.270079472634007,59.375,0.309080894467335,57.1428571428571,"1"
"STL",2012,"NFC","NFC West",1,0,0,0,0,0,0,0,3,23,27,23,27,-4,23,27,NA,NA,NA,NA,NA,"0"
"TB",2012,"NFC","NFC South",1,1,0,0,0,0,0,0,4,16,10,16,10,6,16,10,0.374262966477545,-0.0527419757149707,40.9836065573771,0.00000199391070431604,33.3333333333333,"0"
"TEN",2012,"AFC","AFC South",1,0,0,0,0,0,0,0,3,13,34,13,34,-21,13,34,-6.18461949320044,-0.125817509819422,33.8461538461538,0.0178688361215985,6.66666666666667,"0"
"WAS",2012,"NFC","NFC East",1,0,0,0,0,0,0,0,1,40,32,40,32,8,40,32,11.0562727314536,0.239037988678261,40.5405405405405,0.721069030006854,27.906976744186,"1"
"ARI",2012,"NFC","NFC West",2,0,1,0,0,1,0,0,4,20,18,40,34,6,20,17,-3.03577078641683,-0.0888318244250289,40.3225806451613,-0.106834344494708,40,"0"
"ATL",2012,"NFC","NFC South",2,0,1,0,0,0,0,0,1,27,21,67,45,22,33.5,22.5,8.36906219823868,0.013766812781911,36.9230769230769,0.259211490164155,8.69565217391304,"1"
"BAL",2012,"AFC","AFC North",2,0,1,0,0,1,0,0,1,23,24,67,37,30,33.5,18.5,11.067558057548,-0.138488543649052,40,-0.191792358639718,42.8571428571429,"1"
"BUF",2012,"AFC","AFC East",2,0,0,1,0,0,1,0,4,35,17,63,65,-2,31.5,32.5,0.109272180474363,0.250238389910751,44.4444444444444,0.487662048745816,40.625,"0"
"CAR",2012,"NFC","NFC South",2,1,0,1,0,0,1,0,2,35,27,45,43,2,22.5,21.5,9.04401536220394,0.288277694806194,46.7741935483871,0.575144030053101,44.7368421052632,"0"
"CHI",2012,"NFC","NFC North",2,1,1,0,0,0,0,0,3,10,23,51,44,7,25.5,22,-5.84224698299658,-0.293081924792754,33.3333333333333,-0.371380913590588,39.1304347826087,"0"
"CIN",2012,"AFC","AFC North",2,1,0,1,0,0,1,0,2,34,27,47,71,-24,23.5,35.5,2.76929828629363,0.221428173765898,43.0769230769231,0.485944033864093,24,"1"
"CLE",2012,"AFC","AFC North",2,1,0,1,0,0,0,0,4,27,34,43,51,-8,21.5,25.5,-2.09009592831717,0.20407660117885,46.1538461538462,0.266780522646177,41.6666666666667,"0"
"DAL",2012,"NFC","NFC East",2,0,1,0,0,1,0,0,3,7,27,31,44,-13,15.5,22,2.17655770140118,-0.0588898733414161,37.5,-0.0421619864291421,33.3333333333333,"0"
"DEN",2012,"AFC","AFC West",2,0,1,0,0,0,0,0,1,21,27,52,46,6,26,23,3.08959231388872,-0.0865938506561191,46.5753424657534,-0.136934807446475,50,"1"
"DET",2012,"NFC","NFC North",2,0,1,0,0,0,0,0,4,19,27,46,50,-4,23,25,-4.31711700328742,0.0578084502955495,38.0952380952381,0.222359570197705,26.9230769230769,"0"
"GB",2012,"NFC","NFC North",2,1,0,1,0,0,0,0,1,23,10,45,40,5,22.5,20,-2.12117070952081,-0.0937207685423545,48.4848484848485,-0.0809283823189167,50,"1"
"HOU",2012,"AFC","AFC South",2,1,1,0,0,0,0,0,1,27,7,57,17,40,28.5,8.5,5.74859519292659,0.199806178508593,53.0120481927711,0.223006208979947,54.3478260869565,"1"
"IND",2012,"AFC","AFC South",2,0,0,1,0,0,0,0,2,23,20,44,61,-17,22,30.5,-3.72633749624947,-0.00315516945505771,40,0.275600867029825,22.2222222222222,"1"
"JAX",2012,"AFC","AFC South",2,1,0,1,0,0,0,0,4,7,27,30,53,-23,15,26.5,-4.33935557989753,-0.420126802350361,26.1904761904762,-0.4197661605015,35.7142857142857,"0"
"KC",2012,"AFC","AFC West",2,0,0,1,0,0,0,0,4,17,35,41,75,-34,20.5,37.5,0.302571811844246,-0.0342042876201802,41.6666666666667,-0.00964364597743343,45.4545454545455,"0"
"MIA",2012,"AFC","AFC East",2,0,0,1,0,0,0,0,2,35,13,45,43,2,22.5,21.5,-2.34202449474833,0.188286409320819,44.5945945945946,0.183420978638231,43.9024390243902,"0"
"MIN",2012,"NFC","NFC North",2,0,1,0,0,0,0,0,2,20,23,46,46,0,23,23,3.37946649995865,0.0183798617430364,46.3768115942029,0.115360969874452,41.6666666666667,"1"
"NE",2012,"AFC","AFC East",2,0,1,0,0,0,0,0,1,18,20,52,33,19,26,16.5,8.92976271775806,-0.0694883241339743,43.0379746835443,0.0259068451146264,34.4827586206897,"1"
"NO",2012,"NFC","NFC South",2,1,0,1,0,0,0,0,3,27,35,59,75,-16,29.5,37.5,4.77876216202276,0.139810663208515,53.2467532467532,0.0524440853448979,50,"0"
"NYG",2012,"NFC","NFC East",2,0,0,1,0,0,1,0,2,41,34,58,58,0,29,29,5.8010101300606,0.116003989093252,51.2820512820513,0.181392580387884,37.5,"0"
"NYJ",2012,"AFC","AFC East",2,0,1,0,0,1,0,0,3,10,27,58,55,3,29,27.5,0.537782959989272,-0.0112363730044456,42.1052631578947,-0.0212884265100971,45.4545454545455,"0"
"OAK",2012,"AFC","AFC West",2,0,0,1,0,0,1,0,3,13,35,27,57,-30,13.5,28.5,NA,NA,NA,NA,NA,"0"
"PHI",2012,"NFC","NFC East",2,0,1,0,0,0,0,0,4,24,23,41,39,2,20.5,19.5,-13.5344040753407,0.00567492925820306,46.7532467532467,0.273969394127776,37.8378378378378,"0"
"PIT",2012,"AFC","AFC North",2,0,0,1,0,0,0,0,3,27,10,46,41,5,23,20.5,-9.57019516489527,0.134838773933882,46.875,0.456658686127952,24.1379310344828,"0"
"SD",2012,"AFC","AFC West",2,0,1,0,0,1,0,0,2,38,10,60,24,36,30,12,NA,NA,NA,NA,NA,"0"
"SEA",2012,"NFC","NFC West",2,0,0,1,0,0,1,0,2,27,7,43,27,16,21.5,13.5,-2.9551725161291,0.120735773223023,42.1875,0.332585429871083,35.8974358974359,"1"
"SF",2012,"NFC","NFC West",2,0,1,0,0,0,0,0,1,27,19,57,41,16,28.5,20.5,15.0699969313359,0.20907794460482,54.2372881355932,0.27089298507644,56.5217391304348,"1"
"STL",2012,"NFC","NFC West",2,0,0,1,0,0,0,0,3,31,28,54,55,-1,27,27.5,NA,NA,NA,NA,NA,"0"
"TB",2012,"NFC","NFC South",2,0,1,0,0,1,0,0,4,34,41,50,51,-1,25,25.5,2.0081088396546,0.051911991406765,34.6153846153846,0.18834206450334,27.2727272727273,"0"
"TEN",2012,"AFC","AFC South",2,0,0,1,0,0,0,0,3,10,38,23,72,-49,11.5,36,-5.72136609465815,-0.234402535521066,30,-0.209169979199929,25,"0"
"WAS",2012,"NFC","NFC East",2,0,1,0,0,0,0,0,1,28,31,68,63,5,34,31.5,6.2578100542014,0.119987283646603,41.6666666666667,0.0606569913892658,53.8461538461538,"1"
"ARI",2012,"NFC","NFC West",3,0,2,0,0,1,0,0,4,27,6,67,40,27,22.3333333333333,13.3333333333333,-3.93474906893486,-0.0273061046926593,40,0.232211112266461,26.6666666666667,"0"
"ATL",2012,"NFC","NFC South",3,0,2,0,0,0,0,0,1,27,3,94,48,46,31.3333333333333,16,8.19823223849138,0.219608192933568,47.2222222222222,0.32127255720131,36,"1"
"BAL",2012,"AFC","AFC North",3,0,1,1,0,1,0,0,1,31,30,98,67,31,32.6666666666667,22.3333333333333,11.0417516487263,0.279411871123954,52.112676056338,0.448531497430869,41.6666666666667,"1"
"BUF",2012,"AFC","AFC East",3,0,1,1,0,0,1,0,4,24,14,87,79,8,29,26.3333333333333,2.73684494992873,0.120945742620259,44.1176470588235,0.204769464444382,39.2857142857143,"0"
"CAR",2012,"NFC","NFC South",3,0,1,1,0,1,1,0,2,7,36,52,79,-27,17.3333333333333,26.3333333333333,6.24786770808472,-0.0666380327190915,50,-0.104636846392308,52.6315789473684,"0"
"CHI",2012,"NFC","NFC North",3,0,1,1,0,0,1,0,3,23,6,74,50,24,24.6666666666667,16.6666666666667,-6.56803287298923,-0.0915205099483204,39.3939393939394,-0.0630660954812176,30,"0"
"CIN",2012,"AFC","AFC North",3,0,1,1,0,1,1,0,2,38,31,85,102,-17,28.3333333333333,34,6.47580632352037,0.204494551938612,45,0.631698580400147,30.7692307692308,"1"
"CLE",2012,"AFC","AFC North",3,0,0,2,0,0,1,0,4,14,24,57,75,-18,19,25,-5.36909618909704,-0.203388050382417,38.0952380952381,-0.199071706415853,38.4615384615385,"0"
"DAL",2012,"NFC","NFC East",3,0,1,1,0,1,0,0,3,16,10,47,54,-7,15.6666666666667,18,-2.97336465049496,-0.237704401474465,33.8461538461538,-0.149458681718311,15,"0"
"DEN",2012,"AFC","AFC West",3,0,1,1,0,0,0,0,1,25,31,77,77,0,25.6666666666667,25.6666666666667,1.96173736361864,0.00189382744122915,35,0.1043318918617,23.8095238095238,"1"
"DET",2012,"NFC","NFC North",3,0,1,1,0,0,0,0,4,41,44,87,94,-7,29,31.3333333333333,4.21562750944092,0.14123509256952,57.4468085106383,0.304814583341948,44.4444444444444,"0"
"GB",2012,"NFC","NFC North",3,0,1,1,0,1,0,0,1,12,14,57,54,3,19,18,-2.48927616143677,0.0531151885633832,50,0.0561406844773929,50,"1"
"HOU",2012,"AFC","AFC South",3,0,2,0,0,1,0,0,1,31,25,88,42,46,29.3333333333333,14,7.09156115181395,0.217434578703057,41.1764705882353,0.606855494720518,37.1428571428571,"1"
"IND",2012,"AFC","AFC South",3,1,1,1,0,0,0,0,2,17,22,61,83,-22,20.3333333333333,27.6666666666667,-3.8971363408588,0.0368046223349483,35.8974358974359,0.188705103736608,23.0769230769231,"1"
"JAX",2012,"AFC","AFC South",3,1,0,2,0,0,1,0,4,22,17,52,70,-18,17.3333333333333,23.3333333333333,0.763897319052679,0.0820743458595913,44.0677966101695,-0.0445056793361015,51.5151515151515,"0"
"KC",2012,"AFC","AFC West",3,0,0,2,0,0,0,0,4,27,24,68,99,-31,22.6666666666667,33,-2.96179213120031,-0.0122033301154456,43.010752688172,-0.115340696136451,43.4782608695652,"0"
"MIA",2012,"AFC","AFC East",3,1,1,1,0,0,0,0,2,20,23,65,66,-1,21.6666666666667,22,-5.42575182676471,-0.0076368258203671,42.1686746987952,0.040868191427273,47.6190476190476,"0"
"MIN",2012,"NFC","NFC North",3,0,1,1,0,0,0,0,2,24,13,70,59,11,23.3333333333333,19.6666666666667,4.00951808594891,0.0950617580582324,44.7368421052632,0.406121035573495,28.5714285714286,"1"
"NE",2012,"AFC","AFC East",3,0,1,1,0,0,0,0,1,30,31,82,64,18,27.3333333333333,21.3333333333333,9.90268943275418,0.215728995516491,48.780487804878,0.430710295123616,30.3030303030303,"1"
"NO",2012,"NFC","NFC South",3,0,0,2,0,0,1,0,3,24,27,83,102,-19,27.6666666666667,34,-0.347755311076374,-0.094600453797997,37.2881355932203,-0.0709185401136749,22.2222222222222,"0"
"NYG",2012,"NFC","NFC East",3,0,1,1,0,0,1,0,2,36,7,94,65,29,31.3333333333333,21.6666666666667,7.76534606529943,0.244888748710538,50.7246376811594,0.309413773711456,42.8571428571429,"0"
"NYJ",2012,"AFC","AFC East",3,1,1,1,0,1,0,0,3,23,20,81,75,6,27,25,-0.802392970694053,-0.032715382139723,39.7590361445783,0.00940049464850067,32.258064516129,"0"
"OAK",2012,"AFC","AFC West",3,0,0,2,0,0,1,0,3,34,31,61,88,-27,20.3333333333333,29.3333333333333,NA,NA,NA,NA,NA,"0"
"PHI",2012,"NFC","NFC East",3,0,2,0,0,0,0,0,4,6,27,47,66,-19,15.6666666666667,22,-11.993850655262,-0.311631977153469,35.9375,-0.418632045821063,50,"0"
"PIT",2012,"AFC","AFC North",3,0,1,1,0,0,0,0,3,31,34,77,75,2,25.6666666666667,25,-7.18662553025448,0.238129904323166,52.112676056338,0.423288402248028,40,"0"
"SD",2012,"AFC","AFC West",3,0,2,0,0,1,0,0,2,3,27,63,51,12,21,17,NA,NA,NA,NA,NA,"0"
"SEA",2012,"NFC","NFC West",3,0,1,1,0,0,1,0,2,14,12,57,39,18,19,13,-0.770654675754486,0.0174998558577499,37.5,0.0959371774744276,32.1428571428571,"1"
"SF",2012,"NFC","NFC West",3,0,2,0,0,0,0,0,1,13,24,70,65,5,23.3333333333333,21.6666666666667,8.6918085301734,-0.0896433956157361,46.551724137931,0.0031528848194305,31.25,"1"
"STL",2012,"NFC","NFC West",3,0,1,1,0,0,0,0,3,6,23,60,78,-18,20,26,NA,NA,NA,NA,NA,"0"
"TB",2012,"NFC","NFC South",3,0,1,1,0,1,0,0,4,10,16,60,67,-7,20,22.3333333333333,-0.497292396282622,-0.246362211558442,33.3333333333333,-0.394089054657479,38.4615384615385,"0"
"TEN",2012,"AFC","AFC South",3,0,0,2,0,0,0,0,3,44,41,67,113,-46,22.3333333333333,37.6666666666667,-2.95796351517007,0.145495379607897,36.5079365079365,0.455622562888991,16.6666666666667,"0"
"WAS",2012,"NFC","NFC East",3,0,1,1,0,0,0,0,1,31,38,99,101,-2,33,33.6666666666667,5.73171108260673,0.0570691390011379,54.6666666666667,0.035331387905568,58.0645161290323,"1"
"ARI",2012,"NFC","NFC West",4,0,3,0,0,1,0,0,4,24,21,91,61,30,22.75,15.25,-6.55069167534384,-0.190736121004769,27.7777777777778,-0.12349344093328,0,"0"
"ATL",2012,"NFC","NFC South",4,1,3,0,0,0,0,0,1,30,28,124,76,48,31,19,8.5987110970018,0.0788028419858691,42.8571428571429,0.0361395044696118,40,"1"
"BAL",2012,"AFC","AFC North",4,1,2,1,0,1,0,0,1,23,16,121,83,38,30.25,20.75,8.12285515753319,0.00858815756817848,39.0243902439024,0.104411150507102,24.1379310344828,"1"
"BUF",2012,"AFC","AFC East",4,1,2,1,0,0,1,0,4,28,52,115,131,-16,28.75,32.75,-1.37009643275087,-0.113420061760353,39.1304347826087,0.148303104798701,32,"0"
"CAR",2012,"NFC","NFC South",4,1,1,2,0,1,1,0,2,28,30,80,109,-29,20,27.25,6.02076494004723,0.160529971123651,45.3125,0.341584885836875,45.1612903225806,"0"
"CHI",2012,"NFC","NFC North",4,0,2,1,0,0,1,0,3,34,18,108,68,40,27,17,-6.09033454552264,0.193609325863092,45.2830188679245,0.545682607799669,36,"0"
"CIN",2012,"AFC","AFC North",4,0,2,1,0,1,1,0,2,27,10,112,112,0,28,28,7.31692283067969,0.228880458814496,44.4444444444444,0.509903456016014,27.5862068965517,"1"
"CLE",2012,"AFC","AFC North",4,1,0,3,0,0,1,0,4,16,23,73,98,-25,18.25,24.5,-3.34891941009846,-0.161355587689063,35.7142857142857,-0.127169552695019,22.2222222222222,"0"
"DAL",2012,"NFC","NFC East",4,0,2,1,0,1,0,0,3,18,34,65,88,-23,16.25,22,-3.43455737672775,-0.186109562128179,50.7246376811594,-0.171140772804344,28.5714285714286,"0"
"DEN",2012,"AFC","AFC West",4,1,1,2,0,0,0,0,1,37,6,114,83,31,28.5,20.75,3.37219836795703,0.259779690935961,51.3157894736842,0.456671615013288,41.6666666666667,"1"
"DET",2012,"NFC","NFC North",4,1,1,2,0,0,0,0,4,13,20,100,114,-14,25,28.5,2.36864582776616,-0.0278450439854437,38.961038961039,0.12396880161043,17.6470588235294,"0"
"GB",2012,"NFC","NFC North",4,0,1,2,0,1,0,0,1,28,27,85,81,4,21.25,20.25,0.358977797877742,0.257167929132907,57.3529411764706,0.465762283651755,40.9090909090909,"1"
"HOU",2012,"AFC","AFC South",4,1,3,0,0,1,0,0,1,38,14,126,56,70,31.5,14,6.15158489497117,0.0849015032924814,44.8275862068966,0.323327113731748,34.4827586206897,"1"
"JAX",2012,"AFC","AFC South",4,0,1,2,0,1,1,0,4,10,27,62,97,-35,15.5,24.25,-0.100622691039462,-0.149314570171021,46.6666666666667,-0.208634175683255,50,"0"
"KC",2012,"AFC","AFC West",4,1,1,2,0,0,0,0,4,20,37,88,136,-48,22,34,-7.82155395515534,-0.256415399462484,42.8571428571429,-0.184157246562487,40.9090909090909,"0"
"MIA",2012,"AFC","AFC East",4,0,1,2,0,0,1,0,2,21,24,86,90,-4,21.5,22.5,-6.72113508713664,-0.0608263637898353,44,0.0464503988970557,31.0344827586207,"0"
"MIN",2012,"NFC","NFC North",4,1,2,1,0,0,0,0,2,20,13,90,72,18,22.5,18,3.41675148143918,-0.0296700703989385,37.9310344827586,-0.104830086474882,40.7407407407407,"1"
"NE",2012,"AFC","AFC East",4,1,1,2,0,0,0,0,1,52,28,134,92,42,33.5,23,12.8641804379366,0.336515787810845,59.7402597402597,0.38808631861884,66.6666666666667,"1"
"NO",2012,"NFC","NFC South",4,0,0,3,0,0,1,0,3,27,28,110,130,-20,27.5,32.5,2.22166735035717,0.225440162622116,46.1538461538462,0.41841027851762,25,"0"
"NYG",2012,"NFC","NFC East",4,1,2,1,0,0,1,0,2,17,19,111,84,27,27.75,21,6.12443814363974,0.0888077460015798,42.6470588235294,0.217428970447208,26.3157894736842,"0"
"NYJ",2012,"AFC","AFC East",4,0,2,1,0,2,0,0,3,0,34,81,109,-28,20.25,27.25,-5.34835664554055,-0.642349411813621,26.4150943396226,-0.827720836049088,17.6470588235294,"0"
"OAK",2012,"AFC","AFC West",4,1,1,2,0,0,1,0,3,6,37,67,125,-58,16.75,31.25,NA,NA,NA,NA,NA,"0"
"PHI",2012,"NFC","NFC East",4,1,2,1,0,0,0,0,4,19,17,66,83,-17,16.5,20.75,-6.9209592506013,0.104280874954732,48.5294117647059,0.313304438390282,46.875,"0"
"SD",2012,"AFC","AFC West",4,1,2,1,0,1,0,0,2,37,20,100,71,29,25,17.75,NA,NA,NA,NA,NA,"0"
"SEA",2012,"NFC","NFC West",4,1,2,1,0,0,1,0,2,13,19,70,58,12,17.5,14.5,0.566423769756511,-0.107639858521607,52.4590163934426,-0.312333409718103,53.3333333333333,"1"
"SF",2012,"NFC","NFC West",4,0,2,1,0,0,0,0,1,34,0,104,65,39,26,16.25,8.07898665734338,0.188911614548065,55.7142857142857,-0.0562094526524083,57.1428571428571,"1"
"STL",2012,"NFC","NFC West",4,1,1,2,0,0,0,0,3,19,13,79,91,-12,19.75,22.75,NA,NA,NA,NA,NA,"0"
"TB",2012,"NFC","NFC South",4,0,1,2,0,1,0,0,4,22,24,82,91,-9,20.5,22.75,0.629441392811714,0.00856830646136641,38.9830508474576,-0.0243986096397398,52.9411764705882,"0"
"TEN",2012,"AFC","AFC South",4,1,1,2,0,0,0,0,3,14,38,81,151,-70,20.25,37.75,-6.70993861032184,-0.317695588921197,45.9016393442623,-0.603574040476374,50,"0"
"WAS",2012,"NFC","NFC East",4,0,1,2,0,0,0,0,1,24,22,123,123,0,30.75,30.75,6.72397274275146,0.250984070450052,45.8333333333333,0.358863723764005,38.7096774193548,"1"
"ARI",2012,"NFC","NFC West",5,1,4,0,0,1,0,0,4,3,17,94,78,16,18.8,15.6,-7.43264916065964,-0.218838476155845,39.5061728395062,-0.238532331023255,38.8888888888889,"0"
"ATL",2012,"NFC","NFC South",5,0,4,0,0,1,0,0,1,24,17,148,93,55,29.6,18.6,7.43237036907813,0.0473254921423396,50.6172839506173,0.209203522206453,36,"1"
"BAL",2012,"AFC","AFC North",5,0,3,1,0,2,0,0,1,9,6,130,89,41,26,17.8,6.24366849164944,-0.0688828188525319,37.037037037037,-0.11592259203416,33.3333333333333,"1"
"BUF",2012,"AFC","AFC East",5,0,2,2,0,0,2,0,4,3,45,118,176,-58,23.6,35.2,-2.20832992166397,-0.290346881278997,35.5555555555556,-0.438478522882048,41.1764705882353,"0"
"CAR",2012,"NFC","NFC South",5,0,1,3,0,1,2,0,2,12,16,92,125,-33,18.4,25,2.35635316896369,-0.346604944136777,30.9090909090909,-0.276673411833834,27.7777777777778,"0"
"CHI",2012,"NFC","NFC North",5,0,3,1,0,0,1,0,3,41,3,149,71,78,29.8,14.2,-2.99626068216166,0.313035783476427,52,0.33131179851916,54.8387096774194,"0"
"CIN",2012,"AFC","AFC North",5,0,3,1,0,1,1,0,2,13,17,125,129,-4,25,25.8,5.93989672441385,-0.191135615228345,38.2352941176471,-0.213400171857311,37.5,"1"
"CLE",2012,"AFC","AFC North",5,0,0,4,0,0,2,0,4,27,41,100,139,-39,20,27.8,-0.377233024209272,0.10614246852701,44.8275862068966,0.147423711650611,45,"0"
"DEN",2012,"AFC","AFC West",5,0,2,2,0,1,0,0,1,21,31,135,114,21,27,22.8,1.9174388216692,0.0760760621686297,48.4848484848485,0.262123683227401,33.3333333333333,"1"
"GB",2012,"NFC","NFC North",5,0,2,2,0,1,0,0,1,27,30,112,111,1,22.4,22.2,1.64607732005534,0.0954654927476483,44.6153846153846,0.119111943116745,31.5789473684211,"1"
"HOU",2012,"AFC","AFC South",5,0,4,0,0,2,0,0,1,23,17,149,73,76,29.8,14.6,6.43468311651659,0.0844307269631684,36.9230769230769,0.233022931882028,30.5555555555556,"1"
"IND",2012,"AFC","AFC South",5,0,1,2,0,0,1,0,2,30,27,91,110,-19,22.75,27.5,-1.84491085349146,0.0737884040583489,48.3870967741936,0.142450039683085,48.1481481481481,"1"
"JAX",2012,"AFC","AFC South",5,0,1,3,0,1,1,0,4,3,41,65,138,-73,13,27.6,-6.24650892452337,-0.485238656053121,26.3157894736842,-0.614193169943445,26.3157894736842,"0"
"KC",2012,"AFC","AFC West",5,0,1,3,0,0,1,0,4,6,9,94,145,-51,18.8,29,-10.0325763811784,-0.212017087052618,48.5714285714286,0.0931624609612997,44,"0"
"MIA",2012,"AFC","AFC East",5,0,1,3,0,0,1,0,2,17,13,103,103,0,20.6,20.6,-6.15644449187675,-0.0608020062243137,43.5483870967742,0.304288646443699,37.5,"0"
"MIN",2012,"NFC","NFC North",5,0,3,1,0,1,0,0,2,30,7,120,79,41,24,15.8,5.84801159563303,0.121772141531992,47.0588235294118,0.190539062322511,39.2857142857143,"1"
"NE",2012,"AFC","AFC East",5,0,2,2,0,1,0,0,1,31,21,165,113,52,33,22.6,10.935982302256,0.133977732510717,54.3478260869565,0.17035866399965,53.8461538461538,"1"
"NO",2012,"NFC","NFC South",5,0,0,4,0,0,1,0,3,31,24,141,154,-13,28.2,30.8,2.43085721916868,0.152769970096274,42.0289855072464,0.331756357423529,20,"0"
"NYG",2012,"NFC","NFC East",5,0,2,2,0,0,2,0,2,41,27,152,111,41,30.4,22.2,8.44610375021494,0.27807338777849,52.0547945205479,0.306443165746082,43.75,"0"
"NYJ",2012,"AFC","AFC East",5,0,2,2,0,2,0,0,3,17,23,98,132,-34,19.6,26.4,-5.86064292580186,-0.158007580073057,37.9310344827586,-0.277756839713149,34.7826086956522,"0"
