"team","season","team_conf","team_division","week","div_game","wins","loss","tie","div_w","div_l","div_t","div_rank","team_score","opponent_score","points_for","points_agg","week_diff","points_per_game","points_agg_game","rolling_earlydown_epa","rolling_epaper_play","rolling_success_play","rolling_db_epa","rolling_rush_success","playoffs"
"CAR",2017,"NFC","NFC South",1,0,47,32,1,18,12,0,2,23,3,1954,1691,263,24.1234567901235,20.8765432098765,0.175007521471864,-0.0142153718314675,39.6825396825397,0.218669751460945,31.4285714285714,"1"
"CHI",2017,"NFC","NFC North",1,0,32,48,0,9,21,0,4,17,23,1770,2016,-246,21.8518518518519,24.8888888888889,-1.34229280706886,0.00369337019021321,38.8059701492537,-0.141971568974576,50,"0"
"CIN",2017,"AFC","AFC North",1,1,49,29,2,17,13,0,3,0,20,1930,1583,347,23.8271604938272,19.5432098765432,0.951618190937453,-0.511744468011531,27.8688524590164,-0.777180695804418,26.0869565217391,"0"
"CLE",2017,"AFC","AFC North",1,1,20,60,0,7,23,0,4,18,21,1469,2016,-547,18.1358024691358,24.8888888888889,-3.59270304792775,-0.0671180636940632,41.5384615384615,0.0784883799448576,31.8181818181818,"0"
"DAL",2017,"NFC","NFC East",1,1,45,35,0,18,12,0,2,19,3,1997,1867,130,24.6543209876543,23.0493827160494,2.13826419074185,0.0739769734311395,47.945205479452,0.189284208478552,46.6666666666667,"0"
"DEN",2017,"AFC","AFC West",1,1,59,21,0,23,7,0,4,24,21,2281,1656,625,28.1604938271605,20.4444444444444,2.27527064363313,-0.00779014337593042,41.7910447761194,0.185775926764163,30,"0"
"DET",2017,"NFC","NFC North",1,0,38,42,0,15,15,0,2,35,23,1827,1876,-49,22.5555555555556,23.1604938271605,-0.890456937249128,-0.112758665509324,40.5797101449275,0.0352557593695745,26.9230769230769,"0"
"GB",2017,"NFC","NFC North",1,0,51,28,1,21,8,1,3,17,9,2153,1832,321,26.5802469135802,22.6172839506173,2.90222062969566,0.00768946630280185,45.5696202531646,0.108855692101945,22.7272727272727,"0"
"HOU",2017,"AFC","AFC South",1,1,41,39,0,20,10,0,4,7,29,1689,1736,-47,20.8518518518519,21.4320987654321,-2.23818760457525,-0.418385270547528,37.9746835443038,-0.525665723192827,33.3333333333333,"0"
"IND",2017,"AFC","AFC South",1,0,49,31,0,23,7,0,3,9,46,1959,1938,21,24.1851851851852,23.9259259259259,0.0392641453422019,-0.583018545288584,32.6530612244898,-0.948935833132879,36.3636363636364,"0"
"JAX",2017,"AFC","AFC South",1,1,17,63,0,10,20,0,1,29,7,1474,2160,-686,18.1975308641975,26.6666666666667,-3.59336587428964,0.100900299088887,46.7741935483871,0.217592952292777,41.025641025641,"1"
"KC",2017,"AFC","AFC West",1,0,45,35,0,16,14,0,1,42,27,1830,1636,194,22.5925925925926,20.1975308641975,0.0294069646567315,0.358060173653603,55.3846153846154,0.502364275192667,48,"1"
"LA",2017,"NFC","NFC West",1,0,4,12,0,2,4,0,1,46,9,270,403,-133,15.8823529411765,23.7058823529412,-8.55229647792978,0.0578149466968267,38.7096774193548,0.339648425354669,25.8064516129032,"1"
"LAC",2017,"AFC","AFC West",1,1,0,0,0,0,0,0,2,21,24,21,24,-3,21,24,7.18300018704031,0.023284725625392,44.8275862068966,0.218646411820074,27.2727272727273,"0"
"MIN",2017,"NFC","NFC North",1,0,41,38,1,14,15,1,1,29,19,1816,1799,17,22.4197530864198,22.2098765432099,-1.06673322101823,0.299374199667177,41.2698412698413,0.605711509032654,32.1428571428571,"1"
"NE",2017,"AFC","AFC East",1,0,62,18,0,23,7,0,1,27,42,2402,1589,813,29.6543209876543,19.6172839506173,4.93986132840408,0.0045981695195903,43.75,0.129854509054616,48.5714285714286,"1"
"NO",2017,"NFC","NFC South",1,0,39,41,0,16,14,0,1,19,29,2172,2141,31,26.8148148148148,26.4320987654321,2.70643184471891,0.135850309643044,50,0.28501114515052,33.3333333333333,"1"
"NYG",2017,"NFC","NFC East",1,1,39,41,0,14,16,0,4,3,19,1836,1872,-36,22.6666666666667,23.1111111111111,-1.2610606194996,-0.159023073752973,44.6428571428571,-0.16957195392469,27.2727272727273,"0"
"NYJ",2017,"AFC","AFC East",1,1,33,47,0,11,19,0,4,12,21,1528,1907,-379,18.8641975308642,23.5432098765432,-3.55881809602175,-0.225580968415019,32.1428571428571,-0.310453829649591,33.3333333333333,"0"
"OAK",2017,"AFC","AFC West",1,0,30,50,0,10,20,0,3,26,16,1666,2148,-482,20.5679012345679,26.5185185185185,NA,NA,NA,NA,NA,"0"
"PHI",2017,"NFC","NFC East",1,1,38,42,0,14,16,0,1,30,17,1970,2004,-34,24.320987654321,24.7407407407407,-1.3562769758955,-0.0908467208665592,40.2985074626866,0.161068166722396,18.1818181818182,"1"
"PIT",2017,"AFC","AFC North",1,1,48,32,0,19,11,0,1,21,18,1994,1716,278,24.6172839506173,21.1851851851852,1.73183131119049,0.0113685054330792,36.8421052631579,0.156871381273959,17.6470588235294,"1"
"SEA",2017,"NFC","NFC West",1,0,56,23,1,18,11,1,2,9,17,2009,1316,693,24.8024691358025,16.2469135802469,2.46619131126362,-0.242617996043622,40.8163265306122,-0.212730922842006,25,"0"
"SF",2017,"NFC","NFC West",1,0,38,41,1,13,16,1,4,3,23,1659,1775,-116,20.4814814814815,21.9135802469136,-0.887852117923299,-0.39881137076749,38.5964912280702,-0.355427114121267,23.5294117647059,"0"
"TEN",2017,"AFC","AFC South",1,0,27,53,0,7,23,0,2,16,26,1642,2117,-475,20.2716049382716,26.1358024691358,-3.01377028827182,0.0556523047626992,42.1875,0.0890069036872252,45,"1"
"WAS",2017,"NFC","NFC East",1,1,34,45,1,14,16,0,3,17,30,1872,2096,-224,23.1111111111111,25.8765432098765,1.22646906444556,-0.239499170652544,38.0952380952381,-0.237833001398669,28.5714285714286,"0"
"ARI",2017,"NFC","NFC West",2,0,46,34,1,14,15,1,3,16,13,1885,1703,182,22.9878048780488,20.7682926829268,-1.80031697636246,-0.0421854037094097,39.0625,0.0334095529074822,33.3333333333333,"0"
"ATL",2017,"NFC","NFC South",2,0,43,38,0,15,15,0,3,34,23,2089,1950,139,25.4756097560976,23.780487804878,1.71549024699989,0.195374864058672,53.448275862069,0.285090418196791,53.8461538461538,"1"
"BAL",2017,"AFC","AFC North",2,1,42,39,0,18,13,0,2,24,10,1842,1730,112,22.4634146341463,21.0975609756098,-1.29110588204944,-0.0343777226146262,43.2835820895522,0.185248510418381,25.8064516129032,"0"
"BUF",2017,"AFC","AFC East",2,0,37,44,0,15,16,0,2,3,9,1828,1870,-42,22.2926829268293,22.8048780487805,-0.165770001944427,-0.26434981524904,33.3333333333333,-0.142860378235985,23.5294117647059,"1"
"CAR",2017,"NFC","NFC South",2,0,48,32,1,18,12,0,2,9,3,1963,1694,269,23.9390243902439,20.6585365853659,0.0736427707773781,-0.112349922090021,39.7058823529412,0.0396047123963504,24,"1"
"CHI",2017,"NFC","NFC North",2,0,32,49,0,9,21,0,4,7,29,1777,2045,-268,21.6707317073171,24.9390243902439,-1.41202959077387,-0.268543636057075,42.1875,-0.181214020349823,12.5,"0"
"CIN",2017,"AFC","AFC North",2,0,49,30,2,17,14,0,3,9,13,1939,1596,343,23.6463414634146,19.4634146341463,0.821406603798228,-0.306020175048854,31.25,-0.262422719678233,41.6666666666667,"0"
"CLE",2017,"AFC","AFC North",2,1,20,61,0,7,24,0,4,10,24,1479,2040,-561,18.0365853658537,24.8780487804878,-3.59599428351609,-0.208156450743818,32.3943661971831,-0.23112128721712,23.5294117647059,"0"
"DAL",2017,"NFC","NFC East",2,0,46,35,0,19,12,0,2,17,42,2014,1909,105,24.5609756097561,23.280487804878,2.0533179063257,-0.294720071748276,42.2535211267606,-0.294159994944685,27.2727272727273,"0"
"DEN",2017,"AFC","AFC West",2,0,60,21,0,24,7,0,4,42,17,2323,1673,650,28.3292682926829,20.4024390243902,2.27633748748206,0.0764344072809758,52.6315789473684,0.184162954486273,38.8888888888889,"0"
"DET",2017,"NFC","NFC North",2,0,39,42,0,15,15,0,2,24,10,1851,1886,-35,22.5731707317073,23,-1.00472106981775,-0.12168784228883,33.8709677419355,0.0492079765129792,21.875,"0"
"GB",2017,"NFC","NFC North",2,0,52,28,1,21,8,1,3,23,34,2176,1866,310,26.5365853658537,22.7560975609756,2.80071498778124,0.0812805955938268,54.0540540540541,0.11698868179807,57.1428571428571,"0"
"HOU",2017,"AFC","AFC South",2,0,41,40,0,20,11,0,4,13,9,1702,1745,-43,20.7560975609756,21.280487804878,-2.26312788661502,-0.116598079926794,40.9090909090909,0.044673355009604,35.4838709677419,"0"
"IND",2017,"AFC","AFC South",2,0,49,32,0,23,7,0,3,13,16,1972,1954,18,24.0487804878049,23.8292682926829,-0.133357549646534,-0.161129139025414,36.6197183098592,-0.150820673187115,33.3333333333333,"0"
"JAX",2017,"AFC","AFC South",2,1,18,63,0,11,20,0,1,16,37,1490,2197,-707,18.1707317073171,26.7926829268293,-3.65480593956167,-0.193013346189404,42.4242424242424,-0.263218883934735,41.6666666666667,"1"
"KC",2017,"AFC","AFC West",2,0,46,35,0,16,14,0,1,27,20,1857,1656,201,22.6463414634146,20.1951219512195,0.149442794328131,0.161778752896711,43.3962264150943,0.159241904979166,27.7777777777778,"1"
"LA",2017,"NFC","NFC West",2,0,5,12,0,2,4,0,1,20,27,290,430,-140,16.1111111111111,23.8888888888889,-8.45353563537517,-0.0202082756639116,40,0.0999803144274261,47.3684210526316,"1"
"LAC",2017,"AFC","AFC West",2,0,0,1,0,0,1,0,2,17,19,38,43,-5,19,21.5,11.7992072080302,0.160595902973908,53.448275862069,0.24528039264164,26.6666666666667,"0"
"MIA",2017,"AFC","AFC East",2,0,39,41,0,12,18,0,3,19,17,1685,1811,-126,20.8024691358025,22.358024691358,0.263682100156873,0.129119867794118,41.7910447761194,0.230345623383064,41.9354838709677,"0"
"MIN",2017,"NFC","NFC North",2,0,42,38,1,14,15,1,1,9,26,1825,1825,0,22.2560975609756,22.2560975609756,-1.12201033260246,-0.235563035547773,33.3333333333333,-0.290531185478878,36.3636363636364,"1"
"NE",2017,"AFC","AFC East",2,0,62,19,0,23,7,0,1,36,20,2438,1609,829,29.7317073170732,19.6219512195122,5.0395537156158,0.320977965521366,52.6315789473684,0.639207831024156,43.75,"1"
"NO",2017,"NFC","NFC South",2,0,39,42,0,16,14,0,1,20,36,2192,2177,15,26.7317073170732,26.5487804878049,2.69947470062101,-0.00114927302464958,43.75,0.00277743284068963,41.1764705882353,"1"
"NYG",2017,"NFC","NFC East",2,0,39,42,0,14,17,0,4,10,24,1846,1896,-50,22.5121951219512,23.1219512195122,-1.38015322633882,-0.283986487794859,32.1428571428571,-0.228353405911696,15.7894736842105,"0"
"NYJ",2017,"AFC","AFC East",2,0,33,48,0,11,20,0,4,20,45,1548,1952,-404,18.8780487804878,23.8048780487805,-3.59484463028035,0.0567345162348672,53.5714285714286,0.107756469346114,56.5217391304348,"0"
"OAK",2017,"AFC","AFC West",2,0,31,50,0,10,20,0,3,45,20,1711,2168,-457,20.8658536585366,26.4390243902439,NA,NA,NA,NA,NA,"0"
"PHI",2017,"NFC","NFC East",2,0,39,42,0,15,16,0,1,20,27,1990,2031,-41,24.2682926829268,24.7682926829268,-1.3154055272484,0.111212560518138,50,0.192775947691618,50,"1"
"PIT",2017,"AFC","AFC North",2,0,49,32,0,20,11,0,1,26,9,2020,1725,295,24.6341463414634,21.0365853658537,1.77534423026914,0.0727367799338131,43.0555555555556,0.239604710193342,38.7096774193548,"1"
"SEA",2017,"NFC","NFC West",2,1,56,24,1,18,11,1,2,12,9,2021,1325,696,24.6463414634146,16.1585365853659,2.31773153079624,-0.0416053716127585,35.8974358974359,0.017163976885793,30,"0"
"SF",2017,"NFC","NFC West",2,1,38,42,1,13,16,1,4,9,12,1668,1787,-119,20.3414634146341,21.7926829268293,-0.983643559231046,-0.255438470651956,28.5714285714286,-0.548580543199747,35,"0"
"TB",2017,"NFC","NFC South",2,0,28,52,0,11,19,0,4,29,7,1679,1986,-307,20.7283950617284,24.5185185185185,-1.6331300400361,0.0194689184865345,44.9275362318841,0.178304636044019,36.3636363636364,"0"
"TEN",2017,"AFC","AFC South",2,1,27,54,0,7,23,0,2,37,16,1679,2133,-454,20.4756097560976,26.0121951219512,-2.89010194524634,0.140577598535131,50,0.0559949581807302,58.8235294117647,"1"
"WAS",2017,"NFC","NFC East",2,0,34,46,1,14,17,0,3,27,20,1899,2116,-217,23.1585365853659,25.8048780487805,1.33716208533975,0.143920750760497,46.4788732394366,0.207140261290838,46.1538461538462,"0"
"ARI",2017,"NFC","NFC West",3,0,47,34,1,14,15,1,3,17,28,1902,1731,171,22.9156626506024,20.855421686747,-1.79476607109376,-0.00626202048003194,40.7407407407407,0.0364218189165668,40.9090909090909,"0"
"ATL",2017,"NFC","NFC South",3,0,44,38,0,15,15,0,3,30,26,2119,1976,143,25.5301204819277,23.8072289156627,1.63376186819545,0.0325727135477362,52.2388059701493,-0.0737492786912826,50,"1"
"BAL",2017,"AFC","AFC North",3,0,43,39,0,19,13,0,2,7,44,1849,1774,75,22.2771084337349,21.3734939759036,-1.49883469322006,-0.454839733025814,36.2068965517241,-0.594049265366541,48,"0"
"BUF",2017,"AFC","AFC East",3,0,37,45,0,15,16,0,2,26,16,1854,1886,-32,22.3373493975904,22.7228915662651,-0.229714364485248,-0.0661414605833927,37.0967741935484,0.131687363233287,25,"1"
"CAR",2017,"NFC","NFC South",3,1,49,32,1,18,12,0,2,13,34,1976,1728,248,23.8072289156627,20.8192771084337,0.0446094941340948,-0.188256125635398,45.7627118644068,-0.435481658819121,66.6666666666667,"1"
"CHI",2017,"NFC","NFC North",3,0,32,50,0,9,21,0,4,23,17,1800,2062,-262,21.6867469879518,24.8433734939759,-1.45954529705898,-0.11041740131494,38.4615384615385,-0.285350948198617,43.2432432432432,"0"
"CIN",2017,"AFC","AFC North",3,0,49,31,2,17,14,0,3,24,27,1963,1623,340,23.6506024096386,19.5542168674699,0.893862569610985,0.0765840111539823,46.6666666666667,0.245152539982621,34.4827586206897,"0"
"CLE",2017,"AFC","AFC North",3,0,20,62,0,7,25,0,4,28,31,1507,2071,-564,18.1566265060241,24.9518072289157,-3.56017831263668,0.00258819553313184,42.8571428571429,-0.0235927106890207,47.0588235294118,"0"
"DAL",2017,"NFC","NFC East",3,0,46,36,0,19,12,0,2,28,17,2042,1926,116,24.6024096385542,23.2048192771084,2.16642807745045,0.115118244735008,39.1304347826087,0.228100597220916,32,"0"
"DEN",2017,"AFC","AFC West",3,0,61,21,0,24,7,0,4,16,26,2339,1699,640,28.1807228915663,20.4698795180723,2.19498463380538,-0.0568971482578823,38.0281690140845,-0.0637203383433262,28.5714285714286,"0"
"DET",2017,"NFC","NFC North",3,0,40,42,0,15,15,0,2,26,30,1877,1916,-39,22.6144578313253,23.0843373493976,-1.00432117584197,-0.109809768822657,38.5714285714286,-0.052329028771971,23.5294117647059,"0"
"GB",2017,"NFC","NFC North",3,0,52,29,1,21,8,1,3,27,24,2203,1890,313,26.5421686746988,22.7710843373494,2.83123288285589,-0.0195052359283441,45.7142857142857,0.0235531293978106,35.7142857142857,"0"
"HOU",2017,"AFC","AFC South",3,0,42,40,0,20,11,0,4,33,36,1735,1781,-46,20.9036144578313,21.4578313253012,-2.12586558893602,0.119128958503955,43.6619718309859,0.238043997015013,41.3793103448276,"0"
"IND",2017,"AFC","AFC South",3,0,49,33,0,23,7,0,3,31,28,2003,1982,21,24.1325301204819,23.8795180722892,-0.261216267824409,0.0207086919877221,33.8461538461538,0.211445514880057,21.2121212121212,"0"
"JAX",2017,"AFC","AFC South",3,0,18,64,0,11,21,0,1,44,7,1534,2204,-670,18.4819277108434,26.5542168674699,-3.50695512141466,0.240410062297135,45.0704225352113,0.480199405948801,30.3030303030303,"1"
"KC",2017,"AFC","AFC West",3,1,47,35,0,16,14,0,1,24,10,1881,1666,215,22.6626506024096,20.0722891566265,0.247904392916576,0.0275085259830816,46.2962962962963,-0.170541645097875,52,"1"
"LA",2017,"NFC","NFC West",3,1,5,13,0,2,4,0,1,41,39,331,469,-138,17.4210526315789,24.6842105263158,-7.61441420962097,0.390254466466857,53.125,0.82450354705117,41.9354838709677,"1"
"LAC",2017,"AFC","AFC West",3,1,0,2,0,0,1,0,2,10,24,48,67,-19,16,22.3333333333333,6.84742252828898,-0.112971572041484,42.4657534246575,-0.151470677029252,42.3076923076923,"0"
"MIA",2017,"AFC","AFC East",3,1,40,41,0,12,18,0,3,6,20,1691,1831,-140,20.6219512195122,22.3292682926829,0.198556300076246,-0.296733094453884,34.375,-0.228412718558684,21.4285714285714,"0"
