"Rank","Season","Player","Team","Pos.","Games","Pass Snaps","Pass Rushes","Solo Sacks","Ast. Sacks","Comb. Sacks","Unblocked Sacks","FF","FR","Hurries","Hits","Knockdowns","Pressures","Pass Defl.","Passes Batted","Holding Pen Drawn"
"[object Object]","2021","Austin Bryant","Lions","DE","14","243","226","4","1","4.5","1","0","0","9","9","1","17","0","0","1"
"[object Object]","2021","Austin Johnson","Giants","DT","17","314","314","2","1","2.5","0","0","1","11","7","3","17","0","1","3"
"[object Object]","2021","Jevon Holland","Dolphins","S","16","559","62","2","1","2.5","2","0","2","11","11","4","17","1","0","0"
"[object Object]","2021","Josh Uche","Patriots","DE","12","189","148","3","0","3","0","0","1","9","8","1","16","0","0","1"
"[object Object]","2021","Olasunkanmi Adeniyi","Titans","LB","14","161","150","2","1","2.5","0","0","0","10","9","5","16","1","0","0"
"[object Object]","2021","Milton Williams","Eagles","DT","17","241","240","2","0","2","1","0","0","14","10","4","16","0","2","1"
"[object Object]","2021","Brandon Jones","Dolphins","S","15","386","91","5","0","5","3","1","2","7","10","4","15","0","0","1"
"[object Object]","2021","Whitney Mercilus","2 teams","LB","10","179","174","4","0","4","0","0","0","7","7","1","15","0","0","0"
"[object Object]","2021","Efe Obada","Bills","DE","10","153","149","3","1","3.5","0","0","0","9","10","5","15","0","0","1"
"[object Object]","2021","Justin Jones","Chargers","DT","11","266","266","3","0","3","0","0","2","8","7","2","15","0","1","2"
"[object Object]","2021","Demario Davis","Saints","LB","16","627","106","3","0","3","0","0","0","9","11","7","15","2","0","1"
"[object Object]","2021","Adam Gotsis","Jaguars","DE","16","210","210","3","0","3","0","0","0","9","7","4","15","0","0","1"
"[object Object]","2021","Kingsley Keke","Packers","DT","12","250","250","2","1","2.5","0","1","0","10","7","2","15","4","0","1"
"[object Object]","2021","Jordan Hicks","Cardinals","LB","17","601","100","4","0","4","3","1","2","5","8","2","14","0","0","2"
"[object Object]","2021","Kwon Alexander","Saints","LB","12","337","74","3","1","3.5","0","1","1","8","7","4","14","0","0","0"
"[object Object]","2021","Akiem Hicks","Bears","DT","8","153","153","3","1","3.5","1","0","0","8","7","7","14","0","0","1"
"[object Object]","2021","Sebastian Joseph-Day","Rams","DT","7","210","208","3","0","3","0","0","0","7","7","2","14","0","0","0"
"[object Object]","2021","Jordan Phillips","Cardinals","DT","9","157","152","3","0","3","0","0","0","8","6","3","14","1","1","1"
"[object Object]","2021","Foyesade Oluokun","Falcons","LB","17","619","90","2","0","2","1","1","0","5","11","5","14","2","0","1"
"[object Object]","2021","Taven Bryan","Jaguars","DT","15","170","167","2","0","2","0","0","0","8","8","6","14","0","0","1"
"[object Object]","2021","D.J. Jones","49ers","DT","17","266","261","2","0","2","0","2","0","11","5","1","14","0","0","1"
"[object Object]","2021","Adam Butler","Dolphins","DT","17","438","403","2","0","2","1","0","0","9","8","3","14","1","2","1"
"[object Object]","2021","Tanoh Kpassagnon","Saints","DE","8","149","148","4","0","4","0","1","0","8","6","4","13","1","0","1"
"[object Object]","2021","Yetur Gross-Matos","Panthers","DE","14","176","174","3","1","3.5","0","1","0","9","4","2","13","1","0","3"
"[object Object]","2021","Kentavius Street","49ers","DE","17","178","173","3","0","3","0","1","0","6","9","4","13","0","0","2"
"[object Object]","2021","Kenny Willekes","Vikings","DE","6","148","146","2","1","2.5","0","0","0","6","8","4","13","0","0","0"
"[object Object]","2021","Quincy Roche","Giants","LB","13","234","208","2","1","2.5","1","1","0","8","5","1","13","0","0","1"
